family,genus,species,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color
cercopithecidae,allenopithecus,nigroviridis,0,0,,0,0,0,,mono_stable
cheirogaleidae,allocebus,trichotis,0,0,,0,0,0,,mono_stable
cebidae,alouatta,belzebul,0,0,,0,0,0,,mono_stable
cebidae,alouatta,caraya,0,1,con_to_dad,1,1,2,complete,male_maturation
cebidae,alouatta,guariba,0,0,,0,0,0,,mono_stable
cebidae,alouatta,palliata,0,0,,0,0,0,,mono_stable
cebidae,alouatta,pigra,0,0,,0,0,0,,mono_stable
cebidae,alouatta,sara,0,0,,0,0,0,,mono_stable
cebidae,alouatta,seniculus,0,0,,0,0,0,,mono_stable
cebidae,aotus,nigriceps,0,0,,0,0,0,,mono_stable
cebidae,aotus,trivirgatus,0,0,,0,0,0,,mono_stable
loridae,arctocebus,aureus,0,0,,0,0,0,,mono_stable
loridae,arctocebus,calabarensis,0,0,,0,0,0,,mono_stable
cebidae,ateles,belzebuth,0,0,,0,0,0,,mono_stable
cebidae,ateles,chamek,0,0,,0,0,0,,mono_stable
cebidae,ateles,fusciceps,0,0,,0,0,0,,mono_stable
cebidae,ateles,geoffroyi,0,0,,0,0,0,partial,mono_stable
cebidae,ateles,marginatus,0,0,,0,0,0,,mono_stable
cebidae,ateles,paniscus,0,0,,0,0,0,,mono_stable
indridae,avahi,laniger,0,0,,0,0,0,,mono_stable
cebidae,brachyteles,arachnoides,0,0,,0,0,0,,mono_stable
cebidae,cacajao,calvus,0,0,,0,0,0,,mono_stable
cebidae,cacajao,melanocephalus,0,0,,0,0,0,,mono_stable
cebidae,callicebus,brunneus,0,0,,0,0,0,,mono_stable
cebidae,callicebus,caligatus,0,0,,0,0,0,,mono_stable
cebidae,callicebus,cinerascens,0,0,,0,0,0,,mono_stable
cebidae,callicebus,cupreus,0,0,,0,0,0,,mono_stable
cebidae,callicebus,donacophilus,0,0,,0,0,0,partial,mono_stable
cebidae,callicebus,dubius,0,0,,0,0,0,,mono_stable
cebidae,callicebus,hoffmannsi,0,0,,0,0,0,,mono_stable
cebidae,callicebus,moloch,0,0,,0,0,0,,mono_stable
cebidae,callicebus,personatus,0,0,,0,0,0,,mono_stable
cebidae,callicebus,torquatus,0,0,,0,0,0,,mono_stable
