species,inat_taxon_id,inat_name,inat_research_grade_obs,inat_total_photos,inat_photo_total_method,inat_sec_per_species,inat_error,gbif_key,gbif_human_obs,gbif_specimen_obs,gbif_photos,gbif_specimen_photos,combined_obs,combined_obs_specimens,combined_photos,combined_photos_specimens,family,species_binom,family_trait,genus,species_trait,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color,type,key
Alouatta caraya,43435.0,Alouatta caraya,1816,2502,exact,17.06,,2436652.0,1230.0,49.0,2337.0,147.0,3046.0,3095.0,4839.0,4986.0,Atelidae,Alouatta caraya,cebidae,alouatta,caraya,0,1,con_to_dad,1,1,2,complete,male_maturation,focal,Alouatta caraya
Cercopithecus hamlyni,43475.0,Cercopithecus hamlyni,0,0,exact,0.1,,5219584.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,Cercopithecidae,Cercopithecus hamlyni,cercopithecidae,cercopithecus,hamlyni,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Cercopithecus hamlyni
Chlorocebus aethiops,43523.0,Chlorocebus aethiops,229,296,exact,0.94,,2436566.0,204.0,112.0,315.0,208.0,433.0,545.0,611.0,819.0,Cercopithecidae,Chlorocebus aethiops,cercopithecidae,chlorocebus,aethiops,0,1,con_to_both,0,0,0,partial,mono_maturation,focal,Chlorocebus aethiops
Colobus angolensis,43525.0,Colobus angolensis,357,674,exact,5.99,,5963047.0,273.0,34.0,550.0,56.0,630.0,664.0,1224.0,1280.0,Cercopithecidae,Colobus angolensis,cercopithecidae,colobus,angolensis,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Colobus angolensis
Colobus guereza,1075514.0,Colobus guereza,1472,1653,exact,12.35,,5963045.0,1215.0,141.0,1926.0,351.0,2687.0,2828.0,3579.0,3930.0,Cercopithecidae,Colobus guereza,cercopithecidae,colobus,guereza,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Colobus guereza
Colobus polykomos,43526.0,Colobus polykomos,19,26,exact,0.74,,5963044.0,17.0,53.0,24.0,147.0,36.0,89.0,50.0,197.0,Cercopithecidae,Colobus polykomos,cercopithecidae,colobus,polykomos,0,1,con_to_both,0,0,0,,mono_maturation,focal,Colobus polykomos
Colobus vellerosus,74201.0,Colobus vellerosus,51,72,exact,1.13,,6075599.0,27.0,4.0,46.0,8.0,78.0,82.0,118.0,126.0,Cercopithecidae,Colobus vellerosus,cercopithecidae,colobus,vellerosus,0,1,con_to_both,0,0,0,,mono_maturation,focal,Colobus vellerosus
Erythrocebus patas,43462.0,Erythrocebus patas,976,1123,exact,14.89,,2436548.0,878.0,72.0,1207.0,163.0,1854.0,1926.0,2330.0,2493.0,Cercopithecidae,Erythrocebus patas,cercopithecidae,erythrocebus,patas,1,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Erythrocebus patas
Eulemur flavifrons,100710.0,Eulemur flavifrons,10,20,exact,0.65,,7874997.0,6.0,1.0,9.0,1.0,16.0,17.0,29.0,30.0,Lemuridae,Eulemur flavifrons,lemuridae,eulemur,flavifrons,0,0,,1,1,2,complete,early_dimorphism,focal,Eulemur flavifrons
Eulemur macaco,43609.0,Eulemur macaco,236,351,exact,5.0,,2436420.0,172.0,20.0,321.0,40.0,408.0,428.0,672.0,712.0,Lemuridae,Eulemur macaco,lemuridae,eulemur,macaco,0,1,,1,1,2,complete,early_dimorphism,focal,Eulemur macaco
