"np","nRateCat","lnLik","AIC","dAIC","AICwt"
8,1,-103.618531987419,223.237063974838,7.72374918508237,0.00586066389034796
7,1,-103.590145570874,221.180291141748,5.66697635199171,0.0163896379952771
6,1,-103.590173611019,219.180347222037,3.66703243228136,0.0445504059202355
5,1,-103.717139571667,217.434279143335,1.92096435357905,0.106660970569814
4,1,-103.756657394878,215.513314789756,0,0.278700431175269
5,1,-103.717082738049,217.434165476097,1.92085068634148,0.106667032671019
7,1,-103.737675614096,221.475351228192,5.96203643843654,0.01414157813885
6,1,-103.737669514723,219.475339029445,3.96202423968921,0.0384410293460565
6,1,-103.771818109923,219.543636219846,4.03032143009068,0.0371504827812146
5,1,-103.771836770971,217.543673541942,2.03035875218643,0.10098359778532
5,1,-103.773097151162,217.546194302324,2.03287951256783,0.100856400234561
6,1,-103.595191540454,219.190383080908,3.67706829115193,0.0443274150710892
6,1,-103.590147558918,219.180295117837,3.66698032808077,0.0445515665669973
7,1,-103.590400686741,221.180801373482,5.6674865837258,0.0163854572718764
6,1,-103.595058098964,219.190116197928,3.6768014081724,0.0443333305820723
